source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
,Animalia,Argasidae,Species,"Hoogstraal & Mccarthy, 1965",,Argas abdussalami,Argas abdussalami,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, Kaiser, Walker & Ledger",,Argas africolumbae,Argas africolumbae,Nuttalliella
,Animalia,Argasidae,Species,"Kaiser, Hoogstraal & Kohls, 1964",,Argas arboreus,Argas arboreus,Nuttalliella
,Animalia,Argasidae,Species,Kohls & Hoogstraal,,Argas argas,Argas argas,Nuttalliella
,Animalia,Argasidae,Species,"Kohls & Hoogstral, 1962",,Argas australiensis,Argas australiensis,Nuttalliella
,Animalia,Argasidae,Species,Roubaud & Colas-Belcour,,Argas boueti,Argas boueti,Nuttalliella
,Animalia,Argasidae,Species,Banks,,Argas brevipes,Argas brevipes,Nuttalliella
,Animalia,Argasidae,Species,Neumann,,Argas brumpti,Argas brumpti,Nuttalliella
,Animalia,Argasidae,Species,,,Argas bubalornis,Argas bubalornis,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal & Kaiser, 1968",,Argas ceylonensis,Argas ceylonensis,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, 1955",,Argas confusus,Argas confusus,Nuttalliella
,Animalia,Argasidae,Species,"Kohls & Hoogstraal, 1960",,Argas cooleyi,Argas cooleyi,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal & Kohls, 1967",,Argas cordiformis,Argas cordiformis,Nuttalliella
,Animalia,Argasidae,Species,Neumann,,Argas cucumerinus,Argas cucumerinus,Nuttalliella
,Animalia,Argasidae,Species,"Kaiser & Hoogstraal, 1973",,Argas daviesi,Argas daviesi,Nuttalliella
,Animalia,Argasidae,Species,"Kaiser & Hoogstraal, 1974",,Argas dewae,Argas dewae,Nuttalliella
,Animalia,Argasidae,Species,,,Argas dissimile,Argas dissimile,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Clifford & Capriles, 1971",,Argas dulus,Argas dulus,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, Uilenberg & Blanc, 1967",,Argas echinops,Argas echinops,Nuttalliella
,Animalia,Argasidae,Species,"Kaiser & Hoogstraal, 1974",,Argas falco,Argas falco,Nuttalliella
,Animalia,Argasidae,Species,"Kohls & Clifford, 1968",,Argas giganteus,Argas giganteus,Nuttalliella
,Animalia,Argasidae,Species,,,Argas gilcolladoi,Argas gilcolladoi,Nuttalliella
,Animalia,Argasidae,Species,Audouin,,Argas hermanni,Argas hermanni,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal & Kaiser, 1973",,Argas himalayensis,Argas himalayensis,Nuttalliella
,Animalia,Argasidae,Species,Morel & Vassiliades,,Argas hoogstraali,Argas hoogstraali,Nuttalliella
,Animalia,Argasidae,Species,"Yamaguti, Clifford & Tipton, 1968",,Argas japonicus,Argas japonicus,Nuttalliella
,Animalia,Argasidae,Species,Froggatt,,Argas lagenoplastis,Argas lagenoplastis,Nuttalliella
,Animalia,Argasidae,Species,Filippova,,Argas latus,Argas latus,Nuttalliella
,Animalia,Argasidae,Species,Froggatt,,Argas lgenoplastis,Argas lgenoplastis,Nuttalliella
,Animalia,Argasidae,Species,"Kaiser & Hoogstraal, 1975",,Argas lowryae,Argas lowryae,Nuttalliella
,Animalia,Argasidae,Species,,,Argas macrodermae,Argas macrodermae,Nuttalliella
,Animalia,Argasidae,Species,,,Argas macrostigmatus,Argas macrostigmatus,Nuttalliella
,Animalia,Argasidae,Species,Neumann,,Argas magnus,Argas magnus,Nuttalliella
,Animalia,Argasidae,Species,Koch,,Argas miniatus,Argas miniatus,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Clifford & Radovsky",,Argas mochus,Argas mochus,Nuttalliella
,Animalia,Argasidae,Species,,,Argas monolakensis,Argas monolakensis,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Hoogstraal & Clifford, 1979",,Argas moreli,Argas moreli,Nuttalliella
