source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,"Argas abdussalami Hoogstraal & Mccarthy, 1965",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,abdussalami,,species,,"Hoogstraal & Mccarthy, 1965",,,,,,Argas abdussalami
,,,,,,,,,"Argas africolumbae Hoogstraal, Kaiser, Walker & Ledger",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,africolumbae,,species,,"Hoogstraal, Kaiser, Walker & Ledger",,,,,,Argas africolumbae
,,,,,,,,,"Argas arboreus Kaiser, Hoogstraal & Kohls, 1964",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,arboreus,,species,,"Kaiser, Hoogstraal & Kohls, 1964",,,,,,Argas arboreus
,,,,,,,,,Argas argas Kohls & Hoogstraal,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,argas,,species,,Kohls & Hoogstraal,,,,,,Argas argas
,,,,,,,,,"Argas australiensis Kohls & Hoogstral, 1962",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,australiensis,,species,,"Kohls & Hoogstral, 1962",,,,,,Argas australiensis
,,,,,,,,,Argas boueti Roubaud & Colas-Belcour,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,boueti,,species,,Roubaud & Colas-Belcour,,,,,,Argas boueti
,,,,,,,,,Argas brevipes Banks,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,brevipes,,species,,Banks,,,,,,Argas brevipes
,,,,,,,,,Argas brumpti Neumann,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,brumpti,,species,,Neumann,,,,,,Argas brumpti
,,,,,,,,,Argas bubalornis ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,bubalornis,,species,,,,,,,,Argas bubalornis
,,,,,,,,,"Argas ceylonensis Hoogstraal & Kaiser, 1968",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,ceylonensis,,species,,"Hoogstraal & Kaiser, 1968",,,,,,Argas ceylonensis
,,,,,,,,,"Argas confusus Hoogstraal, 1955",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,confusus,,species,,"Hoogstraal, 1955",,,,,,Argas confusus
,,,,,,,,,"Argas cooleyi Kohls & Hoogstraal, 1960",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,cooleyi,,species,,"Kohls & Hoogstraal, 1960",,,,,,Argas cooleyi
,,,,,,,,,"Argas cordiformis Hoogstraal & Kohls, 1967",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,cordiformis,,species,,"Hoogstraal & Kohls, 1967",,,,,,Argas cordiformis
,,,,,,,,,Argas cucumerinus Neumann,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,cucumerinus,,species,,Neumann,,,,,,Argas cucumerinus
,,,,,,,,,"Argas daviesi Kaiser & Hoogstraal, 1973",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,daviesi,,species,,"Kaiser & Hoogstraal, 1973",,,,,,Argas daviesi
,,,,,,,,,"Argas dewae Kaiser & Hoogstraal, 1974",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,dewae,,species,,"Kaiser & Hoogstraal, 1974",,,,,,Argas dewae
,,,,,,,,,Argas dissimile ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,dissimile,,species,,,,,,,,Argas dissimile
,,,,,,,,,"Argas dulus Keirans, Clifford & Capriles, 1971",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,dulus,,species,,"Keirans, Clifford & Capriles, 1971",,,,,,Argas dulus
,,,,,,,,,"Argas echinops Hoogstraal, Uilenberg & Blanc, 1967",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,echinops,,species,,"Hoogstraal, Uilenberg & Blanc, 1967",,,,,,Argas echinops
,,,,,,,,,"Argas falco Kaiser & Hoogstraal, 1974",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,falco,,species,,"Kaiser & Hoogstraal, 1974",,,,,,Argas falco
,,,,,,,,,"Argas giganteus Kohls & Clifford, 1968",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,giganteus,,species,,"Kohls & Clifford, 1968",,,,,,Argas giganteus
,,,,,,,,,Argas gilcolladoi ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,gilcolladoi,,species,,,,,,,,Argas gilcolladoi
,,,,,,,,,Argas hermanni Audouin,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hermanni,,species,,Audouin,,,,,,Argas hermanni
,,,,,,,,,"Argas himalayensis Hoogstraal & Kaiser, 1973",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,himalayensis,,species,,"Hoogstraal & Kaiser, 1973",,,,,,Argas himalayensis
,,,,,,,,,Argas hoogstraali Morel & Vassiliades,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hoogstraali,,species,,Morel & Vassiliades,,,,,,Argas hoogstraali
,,,,,,,,,"Argas japonicus Yamaguti, Clifford & Tipton, 1968",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,japonicus,,species,,"Yamaguti, Clifford & Tipton, 1968",,,,,,Argas japonicus
