"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","abdussalami","","","HOOGSTRAAL  MCCARTHY 1965","Argas abdussalami"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","africolumbae","","","HOOGSTRAAL  KAISER  WALKER  LEDGER","Argas africolumbae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","arboreus","","","KAISER  HOOGSTRAAL  KOHLS 1964","Argas arboreus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","argas","","","KOHLS  HOOGSTRAAL","Argas argas"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","australiensis","","","KOHLS HOOGSTRAL 1962","Argas australiensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","boueti","","","ROUBAUD  COLAS-BELCOUR","Argas boueti"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","brevipes","","","BANKS","Argas brevipes"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","brumpti","","","NEUMANN","Argas brumpti"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","bubalornis","","","","Argas bubalornis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","ceylonensis","","","HOOGSTRAAL  KAISER 1968","Argas ceylonensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","confusus","","","HOOGSTRAAL 1955","Argas confusus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","cooleyi","","","KOHLS  HOOGSTRAAL 1960","Argas cooleyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","cordiformis","","","HOOGSTRAAL  KOHLS 1967","Argas cordiformis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","cucumerinus","","","NEUMANN","Argas cucumerinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","daviesi","","","KAISER  HOOGSTRAAL 1973","Argas daviesi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","dewae","","","KAISER  HOOGSTRAAL 1974","Argas dewae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","dissimile","","","","Argas dissimile"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","dulus","","","KEIRANS  CLIFFORD  CAPRILES 1971","Argas dulus"
