source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
ASM,100,,,,,,,,Afrosoricida,,Mammalia,,,,,,Animalia,Chordata,Mammalia,,,Afrosoricida,,,,,,,,,,,,,,order,,,,,,,100, 
ASM,220,,,,,,,,Antilocapra americana,,Antilocapra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,Antilocapra,,americana,,species,,,,,,,220,Antilocapra americana
ASM,180,,,,,,,,Antilocapra,,Antilocapridae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,Antilocapra,,,,genus,,,,,,,180,Antilocapra 
ASM,140,,,,,,,,Antilocapridae,,Artiodactyla,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,,,,,family,,,,,,,140, 
ASM,220,,,,,,,,Balaena mysticetus,,Balaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Balaena,,mysticetus,,species,,,,,,,220,Balaena mysticetus
ASM,180,,,,,,,,Balaena,,Balaenidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Balaena,,,,genus,,,,,,,180,Balaena 
ASM,220,,,,,,,,Eubalaena australis,,Eubalaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,australis,,species,,,,,,,220,Eubalaena australis
ASM,220,,,,,,,,Eubalaena glacialis,,Eubalaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,glacialis,,species,,,,,,,220,Eubalaena glacialis
ASM,220,,,,,,,,Eubalaena japonica,,Eubalaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,japonica,,species,,,,,,,220,Eubalaena japonica
ASM,180,,,,,,,,Eubalaena,,Balaenidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,,,genus,,,,,,,180,Eubalaena 
ASM,140,,,,,,,,Balaenidae,,Artiodactyla,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,,,,,family,,,,,,,140, 
ASM,220,,,,,,,,Balaenoptera acutorostrata,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,acutorostrata,,species,,,,,,,220,Balaenoptera acutorostrata
ASM,220,,,,,,,,Balaenoptera bonaerensis,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,bonaerensis,,species,,,,,,,220,Balaenoptera bonaerensis
ASM,220,,,,,,,,Balaenoptera borealis,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,borealis,,species,,,,,,,220,Balaenoptera borealis
ASM,220,,,,,,,,Balaenoptera edeni,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,edeni,,species,,,,,,,220,Balaenoptera edeni
ASM,220,,,,,,,,Balaenoptera musculus,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,musculus,,species,,,,,,,220,Balaenoptera musculus
ASM,220,,,,,,,,Balaenoptera omurai,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,omurai,,species,,,,,,,220,Balaenoptera omurai
ASM,220,,,,,,,,Balaenoptera physalus,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,physalus,,species,,,,,,,220,Balaenoptera physalus
ASM,180,,,,,,,,Balaenoptera,,Balaenopteridae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,,,genus,,,,,,,180,Balaenoptera 
ASM,220,,,,,,,,Megaptera novaeangliae,,Megaptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Megaptera,,novaeangliae,,species,,,,,,,220,Megaptera novaeangliae
ASM,180,,,,,,,,Megaptera,,Balaenopteridae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Megaptera,,,,genus,,,,,,,180,Megaptera 
ASM,140,,,,,,,,Balaenopteridae,,Artiodactyla,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,,,,,family,,,,,,,140, 
ASM,220,,,,,,,,Addax nasomaculatus,,Addax,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Addax,,nasomaculatus,,species,,,,,,,220,Addax nasomaculatus
ASM,180,,,,,,,,Addax,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Addax,,,,genus,,,,,,,180,Addax 
ASM,220,,,,,,,,Aepyceros melampus,,Aepyceros,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Aepyceros,,melampus,,species,,,,,,,220,Aepyceros melampus
ASM,180,,,,,,,,Aepyceros,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Aepyceros,,,,genus,,,,,,,180,Aepyceros 
ASM,220,,,,,,,,Alcelaphus buselaphus,,Alcelaphus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,buselaphus,,species,,,,,,,220,Alcelaphus buselaphus
ASM,180,,,,,,,,Alcelaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,,,genus,,,,,,,180,Alcelaphus 
ASM,220,,,,,,,,Ammelaphus imberbis,,Ammelaphus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,imberbis,,species,,,,,,,220,Ammelaphus imberbis
ASM,180,,,,,,,,Ammelaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,,,genus,,,,,,,180,Ammelaphus 
ASM,220,,,,,,,,Ammodorcas clarkei,,Ammodorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,clarkei,,species,,,,,,,220,Ammodorcas clarkei
ASM,180,,,,,,,,Ammodorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,,,genus,,,,,,,180,Ammodorcas 
ASM,220,,,,,,,,Ammotragus lervia,,Ammotragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,lervia,,species,,,,,,,220,Ammotragus lervia
ASM,180,,,,,,,,Ammotragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,,,genus,,,,,,,180,Ammotragus 
ASM,220,,,,,,,,Antidorcas marsupialis,,Antidorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,marsupialis,,species,,,,,,,220,Antidorcas marsupialis
ASM,180,,,,,,,,Antidorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,,,genus,,,,,,,180,Antidorcas 
ASM,220,,,,,,,,Antilope cervicapra,,Antilope,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,cervicapra,,species,,,,,,,220,Antilope cervicapra
ASM,180,,,,,,,,Antilope,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,,,genus,,,,,,,180,Antilope 
ASM,220,,,,,,,,Arabitragus jayakari,,Arabitragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,jayakari,,species,,,,,,,220,Arabitragus jayakari
ASM,180,,,,,,,,Arabitragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,,,genus,,,,,,,180,Arabitragus 
ASM,220,,,,,,,,Beatragus hunteri,,Beatragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,hunteri,,species,,,,,,,220,Beatragus hunteri
ASM,180,,,,,,,,Beatragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,,,genus,,,,,,,180,Beatragus 
ASM,220,,,,,,,,Bison bison,,Bison,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bison,,species,,,,,,,220,Bison bison
ASM,220,,,,,,,,Bison bonasus,,Bison,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bonasus,,species,,,,,,,220,Bison bonasus
ASM,180,,,,,,,,Bison,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,,,genus,,,,,,,180,Bison 
ASM,220,,,,,,,,Bos frontalis,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,frontalis,,species,,,,,,,220,Bos frontalis
ASM,220,,,,,,,,Bos grunniens,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,grunniens,,species,,,,,,,220,Bos grunniens
