source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,1,,,,,,,,"Haematopinus acuticeps Ferris, 1933",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,acuticeps,,species,,"Ferris, 1933",,,,,,Haematopinus acuticeps
TPT_v1,2,,,,,,,,"Haematopinus apri Goureau, 1866",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,apri,,species,,"Goureau, 1866",,,,,,Haematopinus apri
TPT_v1,3,,,,,,,,"Haematopinus asini (Linnaeus, 1758)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,asini,,species,,"(Linnaeus, 1758)",,,,,,Haematopinus asini
TPT_v1,4,,,,,,,,"Haematopinus breviculus Fahrenholz, 1939",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,breviculus,,species,,"Fahrenholz, 1939",,,,,,Haematopinus breviculus
TPT_v1,5,,,,,,,,"Haematopinus bufali (de Geer, 1778)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,bufali,,species,,"(de Geer, 1778)",,,,,,Haematopinus bufali
TPT_v1,6,,,,,,,,"Haematopinus channabasavannai Krishna Rao, Khuddus & Kuppuswamy, 1977",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,channabasavannai,,species,,"Krishna Rao, Khuddus & Kuppuswamy, 1977",,,,,,Haematopinus channabasavannai
TPT_v1,7,,,,,,,,"Haematopinus eurysternus Denny, 1842",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,eurysternus,,species,,"Denny, 1842",,,,,,Haematopinus eurysternus
TPT_v1,8,,,,,,,,"Haematopinus gorgonis Werneck, 1952",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,gorgonis,,species,,"Werneck, 1952",,,,,,Haematopinus gorgonis
TPT_v1,9,,,,,,,,"Haematopinus jeannereti Paulian & Pajot, 1966",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,jeannereti,,species,,"Paulian & Pajot, 1966",,,,,,Haematopinus jeannereti
TPT_v1,10,,,,,,,,"Haematopinus latus Neumann, 1910",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,latus,,species,,"Neumann, 1910",,,,,,Haematopinus latus
TPT_v1,11,,,,,,,,"Haematopinus longus Neumann, 1912",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,longus,,species,,"Neumann, 1912",,,,,,Haematopinus longus
