source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
TPT_v1,Animalia,Haematopinidae,Species,"Ferris, 1933",,Haematopinus acuticeps,Haematopinus acuticeps,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Goureau, 1866",,Haematopinus apri,Haematopinus apri,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"(Linnaeus, 1758)",,Haematopinus asini,Haematopinus asini,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Fahrenholz, 1939",,Haematopinus breviculus,Haematopinus breviculus,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"(de Geer, 1778)",,Haematopinus bufali,Haematopinus bufali,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Krishna Rao, Khuddus & Kuppuswamy, 1977",,Haematopinus channabasavannai,Haematopinus channabasavannai,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Denny, 1842",,Haematopinus eurysternus,Haematopinus eurysternus,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Werneck, 1952",,Haematopinus gorgonis,Haematopinus gorgonis,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Paulian & Pajot, 1966",,Haematopinus jeannereti,Haematopinus jeannereti,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Neumann, 1910",,Haematopinus latus,Haematopinus latus,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Neumann, 1912",,Haematopinus longus,Haematopinus longus,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Weisser, 1974",,Haematopinus ludwigi,Haematopinus ludwigi,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Werneck, 1952",,Haematopinus meinertzhageni,Haematopinus meinertzhageni,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Weisser & Kim, 1972",,Haematopinus nigricantis,Haematopinus nigricantis,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Mishra & Singh, 1978",,Haematopinus oliveri,Haematopinus oliveri,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Fiedler & Stampa, 1958",,Haematopinus oryx,Haematopinus oryx,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Enderlein, 1908",,Haematopinus phacochoeri,Haematopinus phacochoeri,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Fahrenholz, 1916",,Haematopinus quadripertusus,Haematopinus quadripertusus,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"(Linnaeus, 1758)",,Haematopinus suis,Haematopinus suis,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"Cummings, 1914",,Haematopinus taurotragi,Haematopinus taurotragi,Haematopinus
TPT_v1,Animalia,Haematopinidae,Species,"(Burmeister, 1839)",,Haematopinus tuberculatus,Haematopinus tuberculatus,Haematopinus
TPT_v1,Animalia,Hybopthiridae,Species,"(Neumann, 1909)",,Hybophthirus notophallus,Hybophthirus notophallus,Hybophthirus
TPT_v1,Animalia,Ratemiidae,Species,"Chin, 1981",,Ratemia asiatica,Ratemia asiatica,Ratemia
TPT_v1,Animalia,Ratemiidae,Species,"Fiedler & Stampa, 1958",,Ratemia bassoni,Ratemia bassoni,Ratemia
TPT_v1,Animalia,Ratemiidae,Species,"(Neumann, 1912)",,Ratemia squamulata,Ratemia squamulata,Ratemia
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1936",,Linognathus aepycerus,Linognathus aepycerus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Kellogg & Paine, 1911",,Linognathus africanus,Linognathus africanus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Weisser & Ledger, 1977",,Linognathus angasi,Linognathus angasi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Fahrenholz, 1939)",,Linognathus angulatus,Linognathus angulatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Piaget, 1880)",,Linognathus antennatus,Linognathus antennatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1956",,Linognathus antidorcitis,Linognathus antidorcitis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1958",,Linognathus armatus,Linognathus armatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ferris, 1932",,Linognathus bedfordi,Linognathus bedfordi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(von Olfers, 1816)",,Linognathus setosus,Linognathus setosus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Dutta, 1988",,Linognathus bhatii,Linognathus bhatii,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Piaget, 1885)",,Linognathus breviceps,Linognathus breviceps,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Giebel, 1874)",,Linognathus brevicornis,Linognathus brevicornis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Lucas, 1847)",,Linognathus cervicaprae,Linognathus cervicaprae,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Werneck, 1959",,Linognathus contractus,Linognathus contractus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1936",,Linognathus damaliscus,Linognathus damaliscus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ledger, 1971",,Linognathus damarensis,Linognathus damarensis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Kleynhans, 1968",,Linognathus digitalis,Linognathus digitalis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Benoit, 1969",,Linognathus elblae,Linognathus elblae,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Waterston, 1914",,Linognathus euchore,Linognathus euchore,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Paine, 1914",,Linognathus fahrenholzi,Linognathus fahrenholzi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1958",,Linognathus fenneci,Linognathus fenneci,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ferris, 1932",,Linognathus fractus,Linognathus fractus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Buttiker, 1949",,Linognathus geigyi,Linognathus geigyi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1927",,Linognathus gnu,Linognathus gnu,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Weisser & Ledger, 1977",,Linognathus gonolobatus,Linognathus gonolobatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1929",,Linognathus gorgonus,Linognathus gorgonus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ferris, 1932",,Linognathus hippotragi,Linognathus hippotragi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"van der Merwe, 1968",,Linognathus kimi,Linognathus kimi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1934",,Linognathus lewisi,Linognathus lewisi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Cummings, 1913",,Linognathus limnotragi,Linognathus limnotragi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"van der Merwe, 1968",,Linognathus nesotragi,Linognathus nesotragi,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ledger, 1973",,Linognathus nevilli,Linognathus nevilli,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1958",,Linognathus oryx,Linognathus oryx,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Werneck, 1959",,Linognathus ourebiae,Linognathus ourebiae,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Rudow, 1869)",,Linognathus oviformis,Linognathus oviformis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Neumann, 1907)",,Linognathus ovillus,Linognathus ovillus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ewing, 1927",,Linognathus panamensis,Linognathus panamensis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Osborn, 1896)",,Linognathus pedalis,Linognathus pedalis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1936",,Linognathus peleus,Linognathus peleus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ferris, 1951",,Linognathus petasmatus,Linognathus petasmatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Cummings, 1916",,Linognathus pithodes,Linognathus pithodes,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1956",,Linognathus raphiceri,Linognathus raphiceri,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1956",,Linognathus reduncae,Linognathus reduncae,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Gervais, 1845)",,Linognathus saccatus,Linognathus saccatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ozerova, 1989",,Linognathus sosninae,Linognathus sosninae,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Burmeister, 1838)",,Linognathus stenopsis,Linognathus stenopsis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Ferris, 1932",,Linognathus spicatus,Linognathus spicatus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Werneck, 1937",,Linognathus taeniotrichus,Linognathus taeniotrichus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Bedford, 1927",,Linognathus taurotragus,Linognathus taurotragus,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Piaget, 1880)",,Linognathus tibialis,Linognathus tibialis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"(Linnaeus, 1758)",,Linognathus vituli,Linognathus vituli,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Werneck, 1952",,Linognathus vulpis,Linognathus vulpis,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fiedler & Stampa, 1958",,Linognathus zumpti,Linognathus zumpti,Linognathus
TPT_v1,Animalia,Linognathidae,Species,"Fahrenholz, 1939",,Prolinognathus aethiopicus,Prolinognathus aethiopicus,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"Fahrenholz, 1939",,Prolinognathus arcuatus,Prolinognathus arcuatus,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"(Pallas, 1767)",,Prolinognathus caviaecapensis,Prolinognathus caviaecapensis,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"Benoit, 1961",,Prolinognathus faini,Prolinognathus faini,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"Fahrenholz, 1939",,Prolinognathus ferrisi,Prolinognathus ferrisi,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"Fahrenholz, 1939",,Prolinognathus foleyi,Prolinognathus foleyi,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"(Ehrenberg, 1828)",,Prolinognathus leptocephalus,Prolinognathus leptocephalus,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"Taute, 1971",,Prolinognathus schulzi,Prolinognathus schulzi,Prolinognathus
TPT_v1,Animalia,Linognathidae,Species,"(Fahrenholz, 1916)",,Solenopotes binipilosus,Solenopotes binipilosus,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"(Fahrenholz, 1919)",,Solenopotes burmeisteri,Solenopotes burmeisteri,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"Enderlein, 1904",,Solenopotes capillatus,Solenopotes capillatus,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"Freund, 1935",,Solenopotes capreoli,Solenopotes capreoli,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"(Fahrenholz, 1919)",,Solenopotes ferrisi,Solenopotes ferrisi,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"(Werneck, 1937)",,Solenopotes hologastrus,Solenopotes hologastrus,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"Thompson, 1938",,Solenopotes muntiacus,Solenopotes muntiacus,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"Ledger, 1970",,Solenopotes natalensis,Solenopotes natalensis,Solenopotes
TPT_v1,Animalia,Linognathidae,Species,"(Mjoberg, 1915)",,Solenopotes tarandi,Solenopotes tarandi,Solenopotes
TPT_v1,Animalia,Microthoraciidae,Species,"(Linnaeus, 1758)",,Microthoracius cameli,Microthoracius cameli,Microthoracius
TPT_v1,Animalia,Microthoraciidae,Species,"Werneck, 1933",,Microthoracius mazzai,Microthoracius mazzai,Microthoracius
TPT_v1,Animalia,Microthoraciidae,Species,"Werneck, 1935",,Microthoracius minor,Microthoracius minor,Microthoracius
TPT_v1,Animalia,Microthoraciidae,Species,"(Neumann, 1910)",,Microthoracius praelongiceps,Microthoracius praelongiceps,Microthoracius
TPT_v1,Animalia,Echinophthiriidae,Species,"Enderlein, 1906",,Antarctophthirus ogmorhini,Antarctophthirus ogmorhini,Antarctophthirus
TPT_v1,Animalia,Echinophthiriidae,Species,"(Osborn, 1899)",,Antarctophthirus callorhini,Antarctophthirus callorhini,Antarctophthirus
TPT_v1,Animalia,Echinophthiriidae,Species,"Enderlein, 1909",,Antarctophthirus lobodontis,Antarctophthirus lobodontis,Antarctophthirus
TPT_v1,Animalia,Echinophthiriidae,Species,"(Bohemann, 1865)",,Antarctophthirus trichechi,Antarctophthirus trichechi,Antarctophthirus
TPT_v1,Animalia,Echinophthiriidae,Species,"Harrison, 1937",,Antarctophthirus mawsoni,Antarctophthirus mawsoni,Antarctophthirus
