source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonicalName,acceptedTaxon,parentTaxon
"Lewis, CoL, GBIF, NMNH",Animalia,Ancistropsyllidae,Species,"Lewis, 1968",,Ancistropsylla nepalensis,Ancistropsylla nepalensis,Ancistropsylla
"Lewis, CoL, GBIF",Animalia,Ancistropsyllidae,Species,"Toumanoff & Fuller, 1947",,Ancistropsylla roubaudi,Ancistropsylla roubaudi,Ancistropsylla
"Lewis, CoL, GBIF",Animalia,Ancistropsyllidae,Species,"Smit & Toumanoff, 1952",,Ancistropsylla siamensis,Ancistropsylla siamensis,Ancistropsylla
"Lewis, CoL, GBIF",Animalia,Ancistropsyllidae,Genus,"Toumanoff & Fuller, 1947",,Ancistropsylla,Ancistropsylla,Ancistropsyllidae
"Lewis, CoL, GBIF",Animalia,Ancistropsyllidae,Family,,,Ancistropsyllidae,Ancistropsyllidae,Siphonaptera
"Lewis, GBIF",Animalia,Ceratophyllidae,Genus,"Ewing, 19299",,Aceratophyllus,Macrostylophora,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Sychevsky, 1950",,Aenigmopsylla grodekovi,Aenigmopsylla grodekovi,Aenigmopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Ioff, 1950",,Aenigmopsylla,Aenigmopsylla,Ceratophyllinae
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Jordan, 1929)",,Aetheca thamba,Aetheca thamba,Aetheca
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Baker, 1904)",,Aetheca wagneri,Aetheca wagneri,Aetheca
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Smit, 1983",,Aetheca,Aetheca,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Stewart & Holland, 1940",,Aethopsylla septentrionalis,Oropsylla arctomys,Aethopsylla
"Lewis, GBIF",Animalia,Ceratophyllidae,Genus,"Stewart & Holland, 1940",,Aethopsylla,Oropsylla,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Rothschild, 1908)",,Amalaraeus andersoni andersoni,Amalaraeus andersoni andersoni,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Darskaya, 1949)",,Amalaraeus andersoni ioffi,Amalaraeus andersoni ioffi,Amalaraeus
Lewis,Animalia,Ceratophyllidae,Subspecies,"Rosicky, 1955",,Amalaraeus arvicolae furkotensis,Amalaraeus arvicolae,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Ioff, 1948)",,Amalaraeus arvicolae,Amalaraeus arvicolae,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Tsai, Wu & Liu, 1974)",,Amalaraeus dissimilis angularis,Amalaraeus dissimilis angularis,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Violovich, 1961)",,Amalaraeus dissimilis angulatus,Amalaraeus dissimilis angulatus,Amalaraeus
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"(Holland, 1952)",,Amalaraeus dissimilis athabascae,Amalaraeus dissimilis athabascae,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Labunets, 1982",,Amalaraeus dissimilis daghestanicus,Amalaraeus dissimilis daghestanicus,Amalaraeus
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"(Jordan, 1938)",,Amalaraeus dissimilis dissimilis,Amalaraeus dissimilis dissimilis,Amalaraeus
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Hubbard, 1940)",,Amalaraeus dobbsi,Amalaraeus dobbsi,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Ioff, 1946)",,Amalaraeus improvisus,Amalaraeus improvisus,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Rosicky, 1955)",,Amalaraeus penicilliger kratochvili,Amalaraeus penicilliger kratochvili,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Ye, Ye, Jiang & Yu, 1999",,Amalaraeus penicilliger longidigitus,Amalaraeus penicilliger longidigitus,Amalaraeus
Lewis,Animalia,Ceratophyllidae,Subspecies,"(Cai, Wu & Li, 1997)",,Amalaraeus penicilliger mengdaensis,Amalaraeus penicilliger mengdaensis,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Dale, 1878)",,Amalaraeus penicilliger mustelae,Amalaraeus penicilliger mustelae,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Rothschild, 1911)",,Amalaraeus penicilliger pedias,Amalaraeus penicilliger pedias,Amalaraeus
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"(Grube, 1851)",,Amalaraeus penicilliger penicilliger,Amalaraeus penicilliger penicilliger,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Brinck-Lindroth, 1974",,Amalaraeus penicilliger pyrenaicus,Amalaraeus penicilliger pyrenaicus,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Ioff, 1946)",,Amalaraeus penicilliger syrt,Amalaraeus penicilliger syrt,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Ioff, 1946)",,Amalaraeus penicilliger vallis,Amalaraeus penicilliger vallis,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Peus, 1977)",,Amalaraeus steineri,Amalaraeus steineri,Amalaraeus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Ioff, 1936",,Amalaraeus,Amalaraeus,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Dunn, 1923)",,Amaradix bitterrootensis,Amaradix bitterrootensis,Amaradix
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Rothschild, 1905)",,Amaradix euphorbi,Amaradix euphorbi,Amaradix
