source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
"Lewis, CoL, GBIF, NMNH",224,,,,,,,,"Ancistropsylla nepalensis Lewis, 1968",,Ancistropsylla,,,,1968,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ancistropsyllidae,,,,Ancistropsylla,,nepalensis,,species,,"Lewis, 1968",,ICZN,accepted,,,Ancistropsylla nepalensis
"Lewis, CoL, GBIF",225,,,,,,,,"Ancistropsylla roubaudi Toumanoff & Fuller, 1947",,Ancistropsylla,,,,1947,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ancistropsyllidae,,,,Ancistropsylla,,roubaudi,,species,,"Toumanoff & Fuller, 1947",,ICZN,accepted,,,Ancistropsylla roubaudi
"Lewis, CoL, GBIF",226,,,,,,,,"Ancistropsylla siamensis Smit & Toumanoff, 1952",,Ancistropsylla,,,,1952,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ancistropsyllidae,,,,Ancistropsylla,,siamensis,,species,,"Smit & Toumanoff, 1952",,ICZN,accepted,,,Ancistropsylla siamensis
"Lewis, CoL, GBIF",3499,,,,,,,,"Ancistropsylla Toumanoff & Fuller, 1947",,Ancistropsyllidae,,,,1947,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ancistropsyllidae,,,,Ancistropsylla,,,,genus,,"Toumanoff & Fuller, 1947",,ICZN,accepted,,,Ancistropsylla
"Lewis, CoL, GBIF",3751,,,,,,,,Ancistropsyllidae,,Siphonaptera,,,,,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ancistropsyllidae,,,,,,,,family,,,,ICZN,accepted,,,Ancistropsyllidae
"Lewis, GBIF",1812,,3607,,,,,,"Aceratophyllus Ewing, 19299",Macrostylophora,Ceratophyllinae,,,,19299,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Aceratophyllus,,,,genus,,"Ewing, 19299",,ICZN,synonym,,,Aceratophyllus
"Lewis, CoL, GBIF",58,,,,,,,,"Aenigmopsylla grodekovi Sychevsky, 1950",,Aenigmopsylla,,,,1950,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Aenigmopsylla,,grodekovi,,species,,"Sychevsky, 1950",,ICZN,accepted,,,Aenigmopsylla grodekovi
"Lewis, CoL, GBIF",3488,,,,,,,,"Aenigmopsylla Ioff, 1950",,Ceratophyllinae,,,,1950,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Aenigmopsylla,,,,genus,,"Ioff, 1950",,ICZN,accepted,,,Aenigmopsylla
"Lewis, CoL, GBIF, NMNH",60,,,,,,,,"Aetheca thamba (Jordan, 1929)",,Aetheca,,,,1929,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Aetheca,,thamba,,species,,"(Jordan, 1929)",,ICZN,accepted,,,Aetheca thamba
"Lewis, CoL, FMNH, GBIF, NMNH",65,,,,,,,,"Aetheca wagneri (Baker, 1904)",,Aetheca,,,,1904,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Aetheca,,wagneri,,species,,"(Baker, 1904)",,ICZN,accepted,,,Aetheca wagneri
