source,rankID,scientificNameID,acceptedNameUsageID,parentNameUsage,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,220,,,Abeillia,,,,,Abeillia abeillei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,abeillei,,,,,Abeillia abeillei abeillei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,abeillei,,,,,Abeillia abeillei aurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Abroscopus,,,,,Abroscopus albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Abroscopus albogularis albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Abroscopus albogularis fulvifacies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Abroscopus albogularis hugonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Abroscopus,,,,,Abroscopus schisticeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,schisticeps,,,,,Abroscopus schisticeps flavimentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,schisticeps,,,,,Abroscopus schisticeps ripponi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,schisticeps,,,,,Abroscopus schisticeps schisticeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Abroscopus,,,,,Abroscopus superciliaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris bambusarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris drasticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris euthymus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris flaviventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris papilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris sakaiorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris schwaneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris smythiesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris superciliaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,superciliaris,,,,,Abroscopus superciliaris vordermani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Aburria,,,,,Aburria aburri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthagenys,,,,,Acanthagenys rufogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthidops,,,,,Acanthidops bairdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthis,,,,,Acanthis cabaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthis,,,,,Acanthis flammea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,flammea,,,,,Acanthis flammea flammea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,flammea,,,,,Acanthis flammea islandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,flammea,,,,,Acanthis flammea rostrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthis,,,,,Acanthis hornemanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hornemanni,,,,,Acanthis hornemanni exilipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hornemanni,,,,,Acanthis hornemanni hornemanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthisitta,,,,,Acanthisitta chloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
