source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonicalName,acceptedTaxon,parentTaxon
IOC,Animalia,Trochilidae,Genus,,,Abeillia,Abeillia,Aves
IOC,Animalia,Trochilidae,Species,,,Abeillia abeillei,Abeillia abeillei,Aves
IOC,Animalia,Trochilidae,Subspecies,,,Abeillia abeillei abeillei,Abeillia abeillei abeillei,Aves
IOC,Animalia,Trochilidae,Subspecies,,,Abeillia abeillei aurea,Abeillia abeillei aurea,Aves
IOC,Animalia,Scotocercidae,Genus,,,Abroscopus,Abroscopus,Aves
IOC,Animalia,Scotocercidae,Species,,,Abroscopus albogularis,Abroscopus albogularis,Aves
IOC,Animalia,Scotocercidae,Species,,,Abroscopus schisticeps,Abroscopus schisticeps,Aves
IOC,Animalia,Scotocercidae,Species,,,Abroscopus superciliaris,Abroscopus superciliaris,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus albogularis albogularis,Abroscopus albogularis albogularis,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus albogularis fulvifacies,Abroscopus albogularis fulvifacies,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus albogularis hugonis,Abroscopus albogularis hugonis,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus schisticeps flavimentalis,Abroscopus schisticeps flavimentalis,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus schisticeps ripponi,Abroscopus schisticeps ripponi,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus schisticeps schisticeps,Abroscopus schisticeps schisticeps,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris bambusarum,Abroscopus superciliaris bambusarum,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris drasticus,Abroscopus superciliaris drasticus,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris euthymus,Abroscopus superciliaris euthymus,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris flaviventris,Abroscopus superciliaris flaviventris,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris papilio,Abroscopus superciliaris papilio,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris sakaiorum,Abroscopus superciliaris sakaiorum,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris schwaneri,Abroscopus superciliaris schwaneri,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris smythiesi,Abroscopus superciliaris smythiesi,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris superciliaris,Abroscopus superciliaris superciliaris,Aves
IOC,Animalia,Scotocercidae,Subspecies,,,Abroscopus superciliaris vordermani,Abroscopus superciliaris vordermani,Aves
IOC,Animalia,Cracidae,Genus,,,Aburria,Aburria,Aves
IOC,Animalia,Cracidae,Species,,,Aburria aburri,Aburria aburri,Aves
IOC,Animalia,Meliphagidae,Genus,,,Acanthagenys,Acanthagenys,Aves
IOC,Animalia,Meliphagidae,Species,,,Acanthagenys rufogularis,Acanthagenys rufogularis,Aves
IOC,Animalia,Thraupidae,Genus,,,Acanthidops,Acanthidops,Aves
IOC,Animalia,Thraupidae,Species,,,Acanthidops bairdi,Acanthidops bairdi,Aves
IOC,Animalia,Fringillidae,Genus,,,Acanthis,Acanthis,Aves
IOC,Animalia,Fringillidae,Species,,,Acanthis cabaret,Acanthis cabaret,Aves
IOC,Animalia,Fringillidae,Species,,,Acanthis flammea,Acanthis flammea,Aves
IOC,Animalia,Fringillidae,Species,,,Acanthis hornemanni,Acanthis hornemanni,Aves
IOC,Animalia,Fringillidae,Subspecies,,,Acanthis flammea flammea,Acanthis flammea flammea,Aves
IOC,Animalia,Fringillidae,Subspecies,,,Acanthis flammea islandica,Acanthis flammea islandica,Aves
IOC,Animalia,Fringillidae,Subspecies,,,Acanthis flammea rostrata,Acanthis flammea rostrata,Aves
IOC,Animalia,Fringillidae,Subspecies,,,Acanthis hornemanni exilipes,Acanthis hornemanni exilipes,Aves
IOC,Animalia,Fringillidae,Subspecies,,,Acanthis hornemanni hornemanni,Acanthis hornemanni hornemanni,Aves
IOC,Animalia,Acanthisittidae,Genus,,,Acanthisitta,Acanthisitta,Aves
IOC,Animalia,Acanthisittidae,Species,,,Acanthisitta chloris,Acanthisitta chloris,Aves
IOC,Animalia,Acanthisittidae,Subspecies,,,Acanthisitta chloris chloris,Acanthisitta chloris chloris,Aves
IOC,Animalia,Acanthisittidae,Subspecies,,,Acanthisitta chloris granti,Acanthisitta chloris granti,Aves
IOC,Animalia,Acanthizidae,Genus,,,Acanthiza,Acanthiza,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza apicalis,Acanthiza apicalis,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza cinerea,Acanthiza cinerea,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza ewingii,Acanthiza ewingii,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza inornata,Acanthiza inornata,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza iredalei,Acanthiza iredalei,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza katherina,Acanthiza katherina,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza lineata,Acanthiza lineata,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza murina,Acanthiza murina,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza nana,Acanthiza nana,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza pusilla,Acanthiza pusilla,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza reguloides,Acanthiza reguloides,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza robustirostris,Acanthiza robustirostris,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthiza uropygialis,Acanthiza uropygialis,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza apicalis albiventris,Acanthiza apicalis albiventris,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza apicalis apicalis,Acanthiza apicalis apicalis,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza apicalis cinerascens,Acanthiza apicalis cinerascens,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza apicalis whitlocki,Acanthiza apicalis whitlocki,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza chrysorrhoa chrysorrhoa,Acanthiza chrysorrhoa chrysorrhoa,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza chrysorrhoa leachi,Acanthiza chrysorrhoa leachi,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza chrysorrhoa leighi,Acanthiza chrysorrhoa leighi,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza chrysorrhoa normantoni,Acanthiza chrysorrhoa normantoni,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza ewingii ewingii,Acanthiza ewingii ewingii,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza ewingii rufifrons,Acanthiza ewingii rufifrons,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza iredalei hedleyi,Acanthiza iredalei hedleyi,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza iredalei iredalei,Acanthiza iredalei iredalei,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza iredalei rosinae,Acanthiza iredalei rosinae,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza lineata alberti,Acanthiza lineata alberti,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza lineata clelandi,Acanthiza lineata clelandi,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza lineata lineata,Acanthiza lineata lineata,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza lineata whitei,Acanthiza lineata whitei,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza nana flava,Acanthiza nana flava,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza nana modesta,Acanthiza nana modesta,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza nana nana,Acanthiza nana nana,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza pusilla archibaldi,Acanthiza pusilla archibaldi,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza pusilla dawsonensis,Acanthiza pusilla dawsonensis,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza pusilla diemenensis,Acanthiza pusilla diemenensis,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza pusilla pusilla,Acanthiza pusilla pusilla,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza pusilla zietzi,Acanthiza pusilla zietzi,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza reguloides australis,Acanthiza reguloides australis,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza reguloides nesa,Acanthiza reguloides nesa,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza reguloides reguloides,Acanthiza reguloides reguloides,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthiza reguloides squamata,Acanthiza reguloides squamata,Aves
IOC,Animalia,Meliphagidae,Genus,,,Acanthorhynchus,Acanthorhynchus,Aves
IOC,Animalia,Meliphagidae,Species,,,Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,Aves
IOC,Animalia,Meliphagidae,Species,,,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Aves
IOC,Animalia,Meliphagidae,Subspecies,,,Acanthorhynchus tenuirostris cairnsensis,Acanthorhynchus tenuirostris cairnsensis,Aves
IOC,Animalia,Meliphagidae,Subspecies,,,Acanthorhynchus tenuirostris dubius,Acanthorhynchus tenuirostris dubius,Aves
IOC,Animalia,Meliphagidae,Subspecies,,,Acanthorhynchus tenuirostris halmaturinus,Acanthorhynchus tenuirostris halmaturinus,Aves
IOC,Animalia,Meliphagidae,Subspecies,,,Acanthorhynchus tenuirostris tenuirostris,Acanthorhynchus tenuirostris tenuirostris,Aves
IOC,Animalia,Acanthizidae,Genus,,,Acanthornis,Acanthornis,Aves
IOC,Animalia,Acanthizidae,Species,,,Acanthornis magna,Acanthornis magna,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthornis magna greeniana,Acanthornis magna greeniana,Aves
IOC,Animalia,Acanthizidae,Subspecies,,,Acanthornis magna magna,Acanthornis magna magna,Aves
IOC,Animalia,Accipitridae,Genus,,,Accipiter,Accipiter,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter albogularis,Accipiter albogularis,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter badius,Accipiter badius,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter bicolor,Accipiter bicolor,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter brachyurus,Accipiter brachyurus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter brevipes,Accipiter brevipes,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter butleri,Accipiter butleri,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter castanilius,Accipiter castanilius,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter cirrocephalus,Accipiter cirrocephalus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter collaris,Accipiter collaris,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter cooperii,Accipiter cooperii,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter erythrauchen,Accipiter erythrauchen,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter erythropus,Accipiter erythropus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter fasciatus,Accipiter fasciatus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter francesiae,Accipiter francesiae,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter gentilis,Accipiter gentilis,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter griseiceps,Accipiter griseiceps,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter gularis,Accipiter gularis,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter gundlachi,Accipiter gundlachi,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter haplochrous,Accipiter haplochrous,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter henicogrammus,Accipiter henicogrammus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter henstii,Accipiter henstii,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter hiogaster,Accipiter hiogaster,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter imitator,Accipiter imitator,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter luteoschistaceus,Accipiter luteoschistaceus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter madagascariensis,Accipiter madagascariensis,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter melanochlamys,Accipiter melanochlamys,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter melanoleucus,Accipiter melanoleucus,Aves
IOC,Animalia,Accipitridae,Species,,,Accipiter meyerianus,Accipiter meyerianus,Aves
