rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
100,Struthioniformes,,Aves,,,
140,Struthionidae,,Struthioniformes,,,
180,Struthio,,Struthionidae,,,
220,camelus,,Struthio,,,Struthio camelus
230,camelus,,camelus,,,Struthio camelus camelus
230,syriacus,,camelus,,,Struthio camelus syriacus
230,massaicus,,camelus,,,Struthio camelus massaicus
230,australis,,camelus,,,Struthio camelus australis
220,molybdophanes,,Struthio,,,Struthio molybdophanes
100,Rheiformes,,Aves,,,
140,Rheidae,,Rheiformes,,,
180,Rhea,,Rheidae,,,
220,americana,,Rhea,,,Rhea americana
230,araneipes,,americana,,,Rhea americana araneipes
230,americana,,americana,,,Rhea americana americana
230,nobilis,,americana,,,Rhea americana nobilis
230,albescens,,americana,,,Rhea americana albescens
230,intermedia,,americana,,,Rhea americana intermedia
220,pennata,,Rhea,,,Rhea pennata
230,tarapacensis,,pennata,,,Rhea pennata tarapacensis
230,garleppi,,pennata,,,Rhea pennata garleppi
230,pennata,,pennata,,,Rhea pennata pennata
100,Tinamiformes,,Aves,,,
140,Tinamidae,,Tinamiformes,,,
180,Nothocercus,,Tinamidae,,,
220,julius,,Nothocercus,,,Nothocercus julius
220,bonapartei,,Nothocercus,,,Nothocercus bonapartei
230,intercedens,,bonapartei,,,Nothocercus bonapartei intercedens
230,discrepans,,bonapartei,,,Nothocercus bonapartei discrepans
230,bonapartei,,bonapartei,,,Nothocercus bonapartei bonapartei
230,plumbeiceps,,bonapartei,,,Nothocercus bonapartei plumbeiceps
230,frantzii,,bonapartei,,,Nothocercus bonapartei frantzii
220,nigrocapillus,,Nothocercus,,,Nothocercus nigrocapillus
230,cadwaladeri,,nigrocapillus,,,Nothocercus nigrocapillus cadwaladeri
230,nigrocapillus,,nigrocapillus,,,Nothocercus nigrocapillus nigrocapillus
180,Tinamus,,Tinamidae,,,
220,tao,,Tinamus,,,Tinamus tao
230,larensis,,tao,,,Tinamus tao larensis
230,kleei,,tao,,,Tinamus tao kleei
230,septentrionalis,,tao,,,Tinamus tao septentrionalis
230,tao,,tao,,,Tinamus tao tao
220,solitarius,,Tinamus,,,Tinamus solitarius
220,osgoodi,,Tinamus,,,Tinamus osgoodi
230,hershkovitzi,,osgoodi,,,Tinamus osgoodi hershkovitzi
230,osgoodi,,osgoodi,,,Tinamus osgoodi osgoodi
220,major,,Tinamus,,,Tinamus major
230,robustus,,major,,,Tinamus major robustus
230,percautus,,major,,,Tinamus major percautus
230,fuscipennis,,major,,,Tinamus major fuscipennis
230,castaneiceps,,major,,,Tinamus major castaneiceps
230,brunneiventris,,major,,,Tinamus major brunneiventris
230,saturatus,,major,,,Tinamus major saturatus
230,latifrons,,major,,,Tinamus major latifrons
230,zuliensis,,major,,,Tinamus major zuliensis
230,peruvianus,,major,,,Tinamus major peruvianus
230,serratus,,major,,,Tinamus major serratus
230,major,,major,,,Tinamus major major
230,olivascens,,major,,,Tinamus major olivascens
220,guttatus,,Tinamus,,,Tinamus guttatus
180,Crypturellus,,Tinamidae,,,
220,cinereus,,Crypturellus,,,Crypturellus cinereus
220,berlepschi,,Crypturellus,,,Crypturellus berlepschi
220,soui,,Crypturellus,,,Crypturellus soui
