source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
ASM,,,,,,,,,Afrosoricida,,Mammalia,,,,,,Animalia,Chordata,Mammalia,,,Afrosoricida,,,,,,,,,,,,,,order,,,,,,,100, 
ASM,,,,,,,,,Antilocapra americana,,Antilocapra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,Antilocapra,,americana,,species,,,,,,,220,Antilocapra americana
ASM,,,,,,,,,Antilocapra,,Antilocapridae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,Antilocapra,,,,genus,,,,,,,180,Antilocapra 
ASM,,,,,,,,,Antilocapridae,,Artiodactyla,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,,,,,family,,,,,,,140, 
ASM,,,,,,,,,Balaena mysticetus,,Balaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Balaena,,mysticetus,,species,,,,,,,220,Balaena mysticetus
ASM,,,,,,,,,Balaena,,Balaenidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Balaena,,,,genus,,,,,,,180,Balaena 
ASM,,,,,,,,,Eubalaena australis,,Eubalaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,australis,,species,,,,,,,220,Eubalaena australis
ASM,,,,,,,,,Eubalaena glacialis,,Eubalaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,glacialis,,species,,,,,,,220,Eubalaena glacialis
ASM,,,,,,,,,Eubalaena japonica,,Eubalaena,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,japonica,,species,,,,,,,220,Eubalaena japonica
ASM,,,,,,,,,Eubalaena,,Balaenidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,,,genus,,,,,,,180,Eubalaena 
ASM,,,,,,,,,Balaenidae,,Artiodactyla,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,,,,,family,,,,,,,140, 
ASM,,,,,,,,,Balaenoptera acutorostrata,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,acutorostrata,,species,,,,,,,220,Balaenoptera acutorostrata
ASM,,,,,,,,,Balaenoptera bonaerensis,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,bonaerensis,,species,,,,,,,220,Balaenoptera bonaerensis
ASM,,,,,,,,,Balaenoptera borealis,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,borealis,,species,,,,,,,220,Balaenoptera borealis
ASM,,,,,,,,,Balaenoptera edeni,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,edeni,,species,,,,,,,220,Balaenoptera edeni
ASM,,,,,,,,,Balaenoptera musculus,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,musculus,,species,,,,,,,220,Balaenoptera musculus
ASM,,,,,,,,,Balaenoptera omurai,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,omurai,,species,,,,,,,220,Balaenoptera omurai
ASM,,,,,,,,,Balaenoptera physalus,,Balaenoptera,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,physalus,,species,,,,,,,220,Balaenoptera physalus
