source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,,,,,,,,,Abrocomidae,,Rodentia,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Abrocoma bennettii,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,bennettii,,,,,,,,,220,Abrocoma bennettii
,,,,,,,,,Abrocoma boliviensis,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,boliviensis,,,,,,,,,220,Abrocoma boliviensis
,,,,,,,,,Abrocoma budini,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,budini,,,,,,,,,220,Abrocoma budini
,,,,,,,,,Abrocoma cinerea,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,cinerea,,,,,,,,,220,Abrocoma cinerea
,,,,,,,,,Abrocoma famatina,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,famatina,,,,,,,,,220,Abrocoma famatina
,,,,,,,,,Abrocoma schistacea,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,schistacea,,,,,,,,,220,Abrocoma schistacea
,,,,,,,,,Abrocoma uspallata,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,uspallata,,,,,,,,,220,Abrocoma uspallata
,,,,,,,,,Abrocoma vaccarum,,Abrocoma,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,vaccarum,,,,,,,,,220,Abrocoma vaccarum
,,,,,,,,,Abrocoma,,Abrocomidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Abrocoma,,,,,,,,,,,180,Abrocoma 
,,,,,,,,,Cuscomys,,Abrocomidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Cuscomys,,,,,,,,,,,180,Cuscomys 
,,,,,,,,,Cuscomys ashaninka,,Cuscomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Cuscomys,,ashaninka,,,,,,,,,220,Cuscomys ashaninka
,,,,,,,,,Cuscomys oblativus,,Cuscomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Abrocomidae,,,,Cuscomys,,oblativus,,,,,,,,,220,Cuscomys oblativus
,,,,,,,,,Acrobates frontalis,,Acrobates,,,,,,,,Mammalia,,,Diprotodontia,,,,,,Acrobatidae,,,,Acrobates,,frontalis,,,,,,,,,220,Acrobates frontalis
,,,,,,,,,Acrobates pygmaeus,,Acrobates,,,,,,,,Mammalia,,,Diprotodontia,,,,,,Acrobatidae,,,,Acrobates,,pygmaeus,,,,,,,,,220,Acrobates pygmaeus
,,,,,,,,,Acrobates,,Acrobatidae,,,,,,,,Mammalia,,,Diprotodontia,,,,,,Acrobatidae,,,,Acrobates,,,,,,,,,,,180,Acrobates 
,,,,,,,,,Acrobatidae,,Diprotodontia,,,,,,,,Mammalia,,,Diprotodontia,,,,,,Acrobatidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Distoechurus,,Acrobatidae,,,,,,,,Mammalia,,,Diprotodontia,,,,,,Acrobatidae,,,,Distoechurus,,,,,,,,,,,180,Distoechurus 
,,,,,,,,,Distoechurus pennatus,,Distoechurus,,,,,,,,Mammalia,,,Diprotodontia,,,,,,Acrobatidae,,,,Distoechurus,,pennatus,,,,,,,,,220,Distoechurus pennatus
,,,,,,,,,Ailuridae,,Carnivora,,,,,,,,Mammalia,,,Carnivora,,,,,,Ailuridae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Ailurus,,Ailuridae,,,,,,,,Mammalia,,,Carnivora,,,,,,Ailuridae,,,,Ailurus,,,,,,,,,,,180,Ailurus 
,,,,,,,,,Ailurus fulgens,,Ailurus,,,,,,,,Mammalia,,,Carnivora,,,,,,Ailuridae,,,,Ailurus,,fulgens,,,,,,,,,220,Ailurus fulgens
,,,,,,,,,Anomaluridae,,Rodentia,,,,,,,,Mammalia,,,Rodentia,,,,,,Anomaluridae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Anomalurus,,Anomaluridae,,,,,,,,Mammalia,,,Rodentia,,,,,,Anomaluridae,,,,Anomalurus,,,,,,,,,,,180,Anomalurus 
,,,,,,,,,Anomalurus beecrofti,,Anomalurus,,,,,,,,Mammalia,,,Rodentia,,,,,,Anomaluridae,,,,Anomalurus,,beecrofti,,,,,,,,,220,Anomalurus beecrofti
,,,,,,,,,Anomalurus derbianus,,Anomalurus,,,,,,,,Mammalia,,,Rodentia,,,,,,Anomaluridae,,,,Anomalurus,,derbianus,,,,,,,,,220,Anomalurus derbianus
,,,,,,,,,Anomalurus pelii,,Anomalurus,,,,,,,,Mammalia,,,Rodentia,,,,,,Anomaluridae,,,,Anomalurus,,pelii,,,,,,,,,220,Anomalurus pelii
,,,,,,,,,Anomalurus pusillus,,Anomalurus,,,,,,,,Mammalia,,,Rodentia,,,,,,Anomaluridae,,,,Anomalurus,,pusillus,,,,,,,,,220,Anomalurus pusillus
,,,,,,,,,Antilocapridae,,Artiodactyla,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Antilocapra,,Antilocapridae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,Antilocapra,,,,,,,,,,,180,Antilocapra 
,,,,,,,,,Antilocapra americana,,Antilocapra,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Antilocapridae,,,,Antilocapra,,americana,,,,,,,,,220,Antilocapra americana
,,,,,,,,,Aplodontiidae,,Rodentia,,,,,,,,Mammalia,,,Rodentia,,,,,,Aplodontiidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Aplodontia,,Aplodontiidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Aplodontiidae,,,,Aplodontia,,,,,,,,,,,180,Aplodontia 
,,,,,,,,,Aplodontia rufa,,Aplodontia,,,,,,,,Mammalia,,,Rodentia,,,,,,Aplodontiidae,,,,Aplodontia,,rufa,,,,,,,,,220,Aplodontia rufa
,,,,,,,,,Archaeolemuridae,,Primates,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Archaeolemur,,Archaeolemuridae,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,Archaeolemur,,,,,,,,,,,180,Archaeolemur 
,,,,,,,,,Archaeolemur edwardsi,,Archaeolemur,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,Archaeolemur,,edwardsi,,,,,,,,,220,Archaeolemur edwardsi
,,,,,,,,,Archaeolemur majori,,Archaeolemur,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,Archaeolemur,,majori,,,,,,,,,220,Archaeolemur majori
,,,,,,,,,Atelidae,,Primates,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Alouatta,,Atelidae,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,,,,,,,,,,180,Alouatta 
,,,,,,,,,Alouatta arctoidea,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,arctoidea,,,,,,,,,220,Alouatta arctoidea
,,,,,,,,,Alouatta belzebul,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,belzebul,,,,,,,,,220,Alouatta belzebul
,,,,,,,,,Alouatta caraya,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,caraya,,,,,,,,,220,Alouatta caraya
,,,,,,,,,Alouatta discolor,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,discolor,,,,,,,,,220,Alouatta discolor
,,,,,,,,,Alouatta guariba,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,guariba,,,,,,,,,220,Alouatta guariba
,,,,,,,,,Alouatta macconnelli,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,macconnelli,,,,,,,,,220,Alouatta macconnelli
,,,,,,,,,Alouatta nigerrima,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,nigerrima,,,,,,,,,220,Alouatta nigerrima
