source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical,,
,,,,,,,,,"Argas abdussalami Hoogstraal & Mccarthy, 1965",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,abdussalami,,,,"Hoogstraal & Mccarthy, 1965",,,,,,Argas abdussalami,,
,,,,,,,,,"Argas africolumbae Hoogstraal, Kaiser, Walker & Ledger",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,africolumbae,,,,"Hoogstraal, Kaiser, Walker & Ledger",,,,,,Argas africolumbae,,
,,,,,,,,,"Argas arboreus Kaiser, Hoogstraal & Kohls, 1964",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,arboreus,,,,"Kaiser, Hoogstraal & Kohls, 1964",,,,,,Argas arboreus,,
,,,,,,,,,Argas argas Kohls & Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,argas,,,,Kohls & Hoogstraal,,,,,,Argas argas,,
,,,,,,,,,"Argas australiensis Kohls & Hoogstral, 1962",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,australiensis,,,,"Kohls & Hoogstral, 1962",,,,,,Argas australiensis,,
,,,,,,,,,Argas boueti Roubaud & Colas-Belcour,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,boueti,,,,Roubaud & Colas-Belcour,,,,,,Argas boueti,,
,,,,,,,,,Argas brevipes Banks,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,brevipes,,,,Banks,,,,,,Argas brevipes,,
,,,,,,,,,Argas brumpti Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,brumpti,,,,Neumann,,,,,,Argas brumpti,,
,,,,,,,,,Argas bubalornis ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,bubalornis,,,,,,,,,,Argas bubalornis,,
,,,,,,,,,"Argas ceylonensis Hoogstraal & Kaiser, 1968",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,ceylonensis,,,,"Hoogstraal & Kaiser, 1968",,,,,,Argas ceylonensis,,
,,,,,,,,,"Argas confusus Hoogstraal, 1955",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,confusus,,,,"Hoogstraal, 1955",,,,,,Argas confusus,,
