"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","ABDUSSALAMI","","","HOOGSTRAAL  MCCARTHY 1965","Argas abdussalami"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","AFRICOLUMBAE","","","HOOGSTRAAL  KAISER  WALKER  LEDGER","Argas africolumbae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","ARBOREUS","","","KAISER  HOOGSTRAAL  KOHLS 1964","Argas arboreus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","ARGAS","","","KOHLS  HOOGSTRAAL","Argas argas"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","AUSTRALIENSIS","","","KOHLS HOOGSTRAL 1962","Argas australiensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","BOUETI","","","ROUBAUD  COLAS-BELCOUR","Argas boueti"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","BREVIPES","","","BANKS","Argas brevipes"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","BRUMPTI","","","NEUMANN","Argas brumpti"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","BUBALORNIS","","","","Argas bubalornis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","CEYLONENSIS","","","HOOGSTRAAL  KAISER 1968","Argas ceylonensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","CONFUSUS","","","HOOGSTRAAL 1955","Argas confusus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","COOLEYI","","","KOHLS  HOOGSTRAAL 1960","Argas cooleyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","CORDIFORMIS","","","HOOGSTRAAL  KOHLS 1967","Argas cordiformis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","CUCUMERINUS","","","NEUMANN","Argas cucumerinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","DAVIESI","","","KAISER  HOOGSTRAAL 1973","Argas daviesi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","DEWAE","","","KAISER  HOOGSTRAAL 1974","Argas dewae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","DISSIMILE","","","","Argas dissimile"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","DULUS","","","KEIRANS  CLIFFORD  CAPRILES 1971","Argas dulus"
