rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
100,Rodentia,,Mammalia,,,
140,Muridae,,Rodentia,,,
180,Abditomys,,Muridae,,,
220,latidens,,Abditomys,,,Abditomys latidens
180,Abeomelomys,,Muridae,,,
220,sevia,,Abeomelomys,,,Abeomelomys sevia
140,Cricetidae,,Rodentia,,,
180,Abrawayaomys,,Cricetidae,,,
220,chebezi,,Abrawayaomys,,,Abrawayaomys chebezi
220,ruschii,,Abrawayaomys,,,Abrawayaomys ruschii
140,Abrocomidae,,Rodentia,,,
180,Abrocoma,,Abrocomidae,,,
220,bennettii,,Abrocoma,,,Abrocoma bennettii
220,boliviensis,,Abrocoma,,,Abrocoma boliviensis
220,budini,,Abrocoma,,,Abrocoma budini
220,cinerea,,Abrocoma,,,Abrocoma cinerea
220,famatina,,Abrocoma,,,Abrocoma famatina
220,schistacea,,Abrocoma,,,Abrocoma schistacea
220,uspallata,,Abrocoma,,,Abrocoma uspallata
220,vaccarum,,Abrocoma,,,Abrocoma vaccarum
180,Abrothrix,,Cricetidae,,,
220,andina,,Abrothrix,,,Abrothrix andina
220,hershkovitzi,,Abrothrix,,,Abrothrix hershkovitzi
220,hirta,,Abrothrix,,,Abrothrix hirta
220,illutea,,Abrothrix,,,Abrothrix illutea
220,jelskii,,Abrothrix,,,Abrothrix jelskii
220,lanosa,,Abrothrix,,,Abrothrix lanosa
220,longipilis,,Abrothrix,,,Abrothrix longipilis
220,manni,,Abrothrix,,,Abrothrix manni
220,olivacea,,Abrothrix,,,Abrothrix olivacea
220,sanborni,,Abrothrix,,,Abrothrix sanborni
100,Chiroptera,,Mammalia,,,
140,Pteropodidae,,Chiroptera,,,
180,Acerodon,,Pteropodidae,,,
220,celebensis,,Acerodon,,,Acerodon celebensis
220,humilis,,Acerodon,,,Acerodon humilis
220,jubatus,,Acerodon,,,Acerodon jubatus
220,leucotis,,Acerodon,,,Acerodon leucotis
220,mackloti,,Acerodon,,,Acerodon mackloti
100,Carnivora,,Mammalia,,,
140,Felidae,,Carnivora,,,
180,Acinonyx,,Felidae,,,
220,jubatus,,Acinonyx,,,Acinonyx jubatus
180,Acomys,,Muridae,,,
220,cahirinus,,Acomys,,,Acomys cahirinus
220,chudeaui,,Acomys,,,Acomys chudeaui
220,cilicicus,,Acomys,,,Acomys cilicicus
220,cineraceus,,Acomys,,,Acomys cineraceus
220,dimidiatus,,Acomys,,,Acomys dimidiatus
220,ignitus,,Acomys,,,Acomys ignitus
220,johannis,,Acomys,,,Acomys johannis
220,kempi,,Acomys,,,Acomys kempi
220,louisae,,Acomys,,,Acomys louisae
220,minous,,Acomys,,,Acomys minous
220,mullah,,Acomys,,,Acomys mullah
220,muzei,,Acomys,,,Acomys muzei
220,nesiotes,,Acomys,,,Acomys nesiotes
220,ngurui,,Acomys,,,Acomys ngurui
220,percivali,,Acomys,,,Acomys percivali
220,russatus,,Acomys,,,Acomys russatus
220,selousi,,Acomys,,,Acomys selousi
220,seurati,,Acomys,,,Acomys seurati
220,spinosissimus,,Acomys,,,Acomys spinosissimus
220,subspinosus,,Acomys,,,Acomys subspinosus
220,wilsoni,,Acomys,,,Acomys wilsoni
140,Octodontidae,,Rodentia,,,
180,Aconaemys,,Octodontidae,,,
220,fuscus,,Aconaemys,,,Aconaemys fuscus
220,porteri,,Aconaemys,,,Aconaemys porteri
220,sagei,,Aconaemys,,,Aconaemys sagei
100,Diprotodontia,,Mammalia,,,
140,Acrobatidae,,Diprotodontia,,,
180,Acrobates,,Acrobatidae,,,
220,frontalis,,Acrobates,,,Acrobates frontalis
220,pygmaeus,,Acrobates,,,Acrobates pygmaeus
100,Perissodactyla,,Mammalia,,,
140,Tapiridae,,Perissodactyla,,,
180,Acrocodia,,Tapiridae,,,
220,indicus,,Acrocodia,,,Acrocodia indicus
100,Artiodactyla,,Mammalia,,,
140,Bovidae,,Artiodactyla,,,
180,Addax,,Bovidae,,,
220,nasomaculatus,,Addax,,,Addax nasomaculatus
180,Aegialomys,,Cricetidae,,,
220,baroni,,Aegialomys,,,Aegialomys baroni
220,galapagoensis,,Aegialomys,,,Aegialomys galapagoensis
220,ica,,Aegialomys,,,Aegialomys ica
220,xanthaeolus,,Aegialomys,,,Aegialomys xanthaeolus
140,Vespertilionidae,,Chiroptera,,,
180,Aeorestes,,Vespertilionidae,,,
220,cinereus,,Aeorestes,,,Aeorestes cinereus
220,egregius,,Aeorestes,,,Aeorestes egregius
220,semotus,,Aeorestes,,,Aeorestes semotus
220,villosissimus,,Aeorestes,,,Aeorestes villosissimus
180,Aepeomys,,Cricetidae,,,
220,lugens,,Aepeomys,,,Aepeomys lugens
220,reigi,,Aepeomys,,,Aepeomys reigi
180,Aepyceros,,Bovidae,,,
220,melampus,,Aepyceros,,,Aepyceros melampus
140,Potoroidae,,Diprotodontia,,,
180,Aepyprymnus,,Potoroidae,,,
220,rufescens,,Aepyprymnus,,,Aepyprymnus rufescens
140,Sciuridae,,Rodentia,,,
180,Aeretes,,Sciuridae,,,
220,melanopterus,,Aeretes,,,Aeretes melanopterus
180,Aeromys,,Sciuridae,,,
220,tephromelas,,Aeromys,,,Aeromys tephromelas
220,thomasi,,Aeromys,,,Aeromys thomasi
180,Aethalops,,Pteropodidae,,,
220,aequalis,,Aethalops,,,Aethalops aequalis
220,alecto,,Aethalops,,,Aethalops alecto
180,Aethomys,,Muridae,,,
220,bocagei,,Aethomys,,,Aethomys bocagei
220,chrysophilus,,Aethomys,,,Aethomys chrysophilus
220,hindei,,Aethomys,,,Aethomys hindei
220,ineptus,,Aethomys,,,Aethomys ineptus
220,kaiseri,,Aethomys,,,Aethomys kaiseri
220,nyikae,,Aethomys,,,Aethomys nyikae
220,silindensis,,Aethomys,,,Aethomys silindensis
220,stannarius,,Aethomys,,,Aethomys stannarius
220,thomasi,,Aethomys,,,Aethomys thomasi
140,Ursidae,,Carnivora,,,
180,Ailuropoda,,Ursidae,,,
220,melanoleuca,,Ailuropoda,,,Ailuropoda melanoleuca
140,Phalangeridae,,Diprotodontia,,,
180,Ailurops,,Phalangeridae,,,
220,furvus,,Ailurops,,,Ailurops furvus
220,melanotis,,Ailurops,,,Ailurops melanotis
220,ursinus,,Ailurops,,,Ailurops ursinus
140,Ailuridae,,Carnivora,,,
180,Ailurus,,Ailuridae,,,
220,fulgens,,Ailurus,,,Ailurus fulgens
180,Akodon,,Cricetidae,,,
220,aerosus,,Akodon,,,Akodon aerosus
220,affinis,,Akodon,,,Akodon affinis
220,albiventer,,Akodon,,,Akodon albiventer
220,azarae,,Akodon,,,Akodon azarae
220,baliolus,,Akodon,,,Akodon baliolus
220,boliviensis,,Akodon,,,Akodon boliviensis
220,budini,,Akodon,,,Akodon budini
220,caenosus,,Akodon,,,Akodon caenosus
220,cursor,,Akodon,,,Akodon cursor
220,dayi,,Akodon,,,Akodon dayi
220,dolores,,Akodon,,,Akodon dolores
220,fumeus,,Akodon,,,Akodon fumeus
220,iniscatus,,Akodon,,,Akodon iniscatus
220,josemariarguedasi,,Akodon,,,Akodon josemariarguedasi
220,juninensis,,Akodon,,,Akodon juninensis
220,kofordi,,Akodon,,,Akodon kofordi
220,lindberghi,,Akodon,,,Akodon lindberghi
220,lutescens,,Akodon,,,Akodon lutescens
220,mimus,,Akodon,,,Akodon mimus
220,mollis,,Akodon,,,Akodon mollis
220,montensis,,Akodon,,,Akodon montensis
220,mystax,,Akodon,,,Akodon mystax
220,orientalis,,Akodon,,,Akodon orientalis
220,orophilus,,Akodon,,,Akodon orophilus
220,paranaensis,,Akodon,,,Akodon paranaensis
220,pervalens,,Akodon,,,Akodon pervalens
220,philipmyersi,,Akodon,,,Akodon philipmyersi
220,polopi,,Akodon,,,Akodon polopi
220,reigi,,Akodon,,,Akodon reigi
220,sanctipaulensis,,Akodon,,,Akodon sanctipaulensis
220,siberiae,,Akodon,,,Akodon siberiae
220,simulator,,Akodon,,,Akodon simulator
220,spegazzinii,,Akodon,,,Akodon spegazzinii
220,subfuscus,,Akodon,,,Akodon subfuscus
220,surdus,,Akodon,,,Akodon surdus
220,sylvanus,,Akodon,,,Akodon sylvanus
220,toba,,Akodon,,,Akodon toba
220,torques,,Akodon,,,Akodon torques
220,varius,,Akodon,,,Akodon varius
180,Alcelaphus,,Bovidae,,,
220,buselaphus,,Alcelaphus,,,Alcelaphus buselaphus
140,Cervidae,,Artiodactyla,,,
180,Alces,,Cervidae,,,
220,alces,,Alces,,,Alces alces
180,Alexandromys,,Cricetidae,,,
220,evoronensis,,Alexandromys,,,Alexandromys evoronensis
220,fortis,,Alexandromys,,,Alexandromys fortis
220,gromovi,,Alexandromys,,,Alexandromys gromovi
220,kikuchii,,Alexandromys,,,Alexandromys kikuchii
220,limnophilus,,Alexandromys,,,Alexandromys limnophilus
220,maximowiczii,,Alexandromys,,,Alexandromys maximowiczii
220,middendorffii,,Alexandromys,,,Alexandromys middendorffii
220,mongolicus,,Alexandromys,,,Alexandromys mongolicus
220,montebelli,,Alexandromys,,,Alexandromys montebelli
220,mujanensis,,Alexandromys,,,Alexandromys mujanensis
