Column number,Header name,definition
a,source,taxon information providing organization
b,taxonID,https://dwc.tdwg.org/terms/#dwc:taxonID
c,scientificNameID,https://dwc.tdwg.org/terms/#dwc:scientificNameID
d,acceptedNameUsageID,https://dwc.tdwg.org/terms/#dwc:acceptedNameUsageID
e,parentNameUsageID,https://dwc.tdwg.org/terms/#dwc:parentNameUsageID
f,originalNameUsageID,https://dwc.tdwg.org/terms/#dwc:originalNameUsageID
g,nameAccordingToID,https://dwc.tdwg.org/terms/#dwc:nameAccordingToID
h,namePublishedInID,https://dwc.tdwg.org/terms/#dwc:namePublishedInID
i,taxonConceptID,https://dwc.tdwg.org/terms/#dwc:taxonConceptID
j,scientificName,https://dwc.tdwg.org/terms/#dwc:scientificName
k,acceptedNameUsage,https://dwc.tdwg.org/terms/#dwc:acceptedNameUsage
l,parentNameUsage,https://dwc.tdwg.org/terms/#dwc:parentNameUsage
m,originalNameUsage,https://dwc.tdwg.org/terms/#dwc:originalNameUsage
n,nameAccordingTo,https://dwc.tdwg.org/terms/#dwc:nameAccordingTo
o,namePublishedIn,https://dwc.tdwg.org/terms/#dwc:namePublishedIn
p,namePublishedInYear,https://dwc.tdwg.org/terms/#dwc:namePublishedInYear
q,higherClassification,https://dwc.tdwg.org/terms/#dwc:higherClassification
r,kingdom,https://dwc.tdwg.org/terms/#dwc:kingdom
s,phylum,https://dwc.tdwg.org/terms/#dwc:phylum
t,class,https://dwc.tdwg.org/terms/#dwc:class
u,subclass,"Taxonomic rank below class, above order: https://www.biologyonline.com/dictionary/subclass"
v,superorder,Taxonomic rank above order and below class
w,order,https://dwc.tdwg.org/terms/#dwc:order
x,suborder,Taxonomic rank below order and above family
y,infraorder,Taxonomic rank below suborder: https://www.biologyonline.com/dictionary/infraorder
z,parvorder,Taxonomic rank below infraorder
aa,nanorder,Taxonomic rank below hyporder
ab,superfamily,Taxonomic rank above family: https://www.biologyonline.com/dictionary/superfamily
ac,family,https://dwc.tdwg.org/terms/#dwc:family
ad,subfamily,https://dwc.tdwg.org/terms/#dwc:subfamily
ae,tribe,Taxonomic rank above genus
af,subtribe,Taxonomic rank below tribe
ag,genus,https://dwc.tdwg.org/terms/#dwc:genus
ah,infragenericEpithet,https://dwc.tdwg.org/terms/#dwc:infragenericEpithet
ai,specificEpithet,https://dwc.tdwg.org/terms/#dwc:specificEpithet
aj,infraspecificEpithet,https://dwc.tdwg.org/terms/#dwc:infraspecificEpithet
ak,taxonRank,https://dwc.tdwg.org/terms/#dwc:taxonRank
al,verbatimTaxonRank,https://dwc.tdwg.org/terms/#dwc:verbatimTaxonRank
am,scientificNameAuthorship,https://dwc.tdwg.org/terms/#dwc:scientificNameAuthorship
an,vernacularName,https://dwc.tdwg.org/terms/#dwc:vernacularName
ao,nomenclaturalCode,https://dwc.tdwg.org/terms/#dwc:nomenclaturalCode
ap,taxonomicStatus,https://dwc.tdwg.org/terms/#dwc:taxonomicStatus
aq,nomenclaturalStatus,https://dwc.tdwg.org/terms/#dwc:nomenclaturalStatus
ar,taxonRemarks,https://dwc.tdwg.org/terms/#dwc:taxonRemarks
as,canonicalName,latinized parts of a scientific name: https://globalnames.org/docs/glossary/#canonical-name
