source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,1,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,acuticeps,NA,,,"Ferris, 1933",,,,,,Haematopinus acuticeps
TPT_v1,2,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,apri,NA,,,"Goureau, 1866",,,,,,Haematopinus apri
TPT_v1,3,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,asini,NA,,,"(Linnaeus, 1758)",,,,,,Haematopinus asini
TPT_v1,4,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,breviculus,NA,,,"Fahrenholz, 1939",,,,,,Haematopinus breviculus
TPT_v1,5,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,bufali,NA,,,"(de Geer, 1778)",,,,,,Haematopinus bufali
TPT_v1,6,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,channabasavannai,NA,,,"Krishna Rao, Khuddus & Kuppuswamy, 1977",,,,,,Haematopinus channabasavannai
TPT_v1,7,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,eurysternus,NA,,,"Denny, 1842",,,,,,Haematopinus eurysternus
TPT_v1,8,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,gorgonis,NA,,,"Werneck, 1952",,,,,,Haematopinus gorgonis
TPT_v1,9,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,jeannereti,NA,,,"Paulian & Pajot, 1966",,,,,,Haematopinus jeannereti
TPT_v1,10,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,latus,NA,,,"Neumann, 1910",,,,,,Haematopinus latus
TPT_v1,11,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,longus,NA,,,"Neumann, 1912",,,,,,Haematopinus longus
TPT_v1,12,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,ludwigi,NA,,,"Weisser, 1974",,,,,,Haematopinus ludwigi
TPT_v1,13,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,meinertzhageni,NA,,,"Werneck, 1952",,,,,,Haematopinus meinertzhageni
TPT_v1,14,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,nigricantis,NA,,,"Weisser & Kim, 1972",,,,,,Haematopinus nigricantis
TPT_v1,15,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,oliveri,NA,,,"Mishra & Singh, 1978",,,,,,Haematopinus oliveri
TPT_v1,16,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,oryx,NA,,,"Fiedler & Stampa, 1958",,,,,,Haematopinus oryx
TPT_v1,17,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,phacochoeri,NA,,,"Enderlein, 1908",,,,,,Haematopinus phacochoeri
TPT_v1,18,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,quadripertusus,NA,,,"Fahrenholz, 1916",,,,,,Haematopinus quadripertusus
TPT_v1,19,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,suis,NA,,,"(Linnaeus, 1758)",,,,,,Haematopinus suis
TPT_v1,20,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,taurotragi,NA,,,"Cummings, 1914",,,,,,Haematopinus taurotragi
TPT_v1,21,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Haematopinidae,,,,Haematopinus,NA,tuberculatus,NA,,,"(Burmeister, 1839)",,,,,,Haematopinus tuberculatus
TPT_v1,22,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Hybopthiridae,,,,Hybophthirus,NA,notophallus,NA,,,"(Neumann, 1909)",,,,,,Hybophthirus notophallus
TPT_v1,23,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Ratemiidae,,,,Ratemia,NA,asiatica,NA,,,"Chin, 1981",,,,,,Ratemia asiatica
TPT_v1,24,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Ratemiidae,,,,Ratemia,NA,bassoni,NA,,,"Fiedler & Stampa, 1958",,,,,,Ratemia bassoni
TPT_v1,25,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Ratemiidae,,,,Ratemia,NA,squamulata,NA,,,"(Neumann, 1912)",,,,,,Ratemia squamulata
TPT_v1,26,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,aepycerus,NA,,,"Bedford, 1936",,,,,,Linognathus aepycerus
TPT_v1,27,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,africanus,NA,,,"Kellogg & Paine, 1911",,,,,,Linognathus africanus
TPT_v1,28,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,angasi,NA,,,"Weisser & Ledger, 1977",,,,,,Linognathus angasi
